Month,Cash,Loan Balance,Under Construction,Houses Completed
2024-12,0,320000,0,0
2025-01,0,320000,0,0
2025-02,0,320000,0,0
2025-03,0,320000,0,0
2025-04,0,320000,0,0
2025-05,0,320000,0,0
2025-06,0,320000,0,0
2025-07,0,320000,0,0
2025-08,0,320000,0,0
2025-09,0,320000,0,0
2025-10,0,320000,0,0
2025-11,0,320000,0,0
2025-12,0,320000,0,0
2026-01,0,320000,0,0
2026-02,0,320000,0,0
2026-03,0,320000,0,0
2026-04,0,320000,0,0
2026-05,0,320000,0,0
2026-06,0,320000,0,0
2026-07,0,320000,0,0
2026-08,0,320000,0,0
2026-09,0,320000,0,0
2026-10,0,320000,0,0
2026-11,0,320000,0,0
